frame,id,pred_x,pred_y,gt_x,gt_y,distance
1,1,960,538,960.5,538.5,0.7071067811865476
1,2,1421,607,1421.5,607.5,0.7071067811865476
1,3,628,578,628.5,578.5,0.7071067811865476
2,1,960,538,960.5,538.5,0.7071067811865476
2,2,1421,607,1426.0,607.0,5.0
2,3,628,578,628.5,578.0,0.5
3,1,960,538,960.5,538.5,0.7071067811865476
3,2,1429,606,1431.0,607.0,2.23606797749979
3,3,628,577,628.5,578.0,1.118033988749895
4,1,960,538,960.5,538.5,0.7071067811865476
4,2,1435,606,1436.5,607.5,2.1213203435596424
4,3,628,577,628.5,578.0,1.118033988749895
5,1,960,538,960.5,538.5,0.7071067811865476
5,2,1440,607,1441.5,607.5,1.5811388300841898
5,3,628,577,628.5,578.0,1.118033988749895
6,1,960,538,960.5,538.5,0.7071067811865476
6,2,1446,607,1447.0,608.0,1.4142135623730951
6,3,628,577,629.0,578.0,1.4142135623730951
7,1,960,538,960.5,538.5,0.7071067811865476
7,2,1451,607,1455.0,607.0,4.0
7,3,628,577,629.0,577.5,1.118033988749895
8,1,960,538,960.5,538.5,0.7071067811865476
8,2,1458,607,1463.5,607.0,5.5
8,3,629,577,629.0,577.5,0.5
9,1,960,538,960.5,538.5,0.7071067811865476
9,2,1467,607,1471.5,606.0,4.6097722286464435
9,3,629,577,629.0,577.5,0.5
10,1,960,538,960.5,538.5,0.7071067811865476
10,2,1475,606,1480.0,606.0,5.0
10,3,629,577,629.0,577.5,0.5
11,1,960,538,960.5,538.5,0.7071067811865476
11,2,1484,606,1489.5,605.5,5.522680508593631
11,3,629,577,630.0,578.0,1.4142135623730951
12,1,960,538,960.5,538.5,0.7071067811865476
12,2,1494,605,1499.5,605.5,5.522680508593631
12,3,629,577,630.0,577.5,1.118033988749895
13,1,960,538,960.5,538.5,0.7071067811865476
13,2,1504,605,1509.5,605.5,5.522680508593631
13,3,630,577,630.0,577.5,0.5
14,1,960,538,960.5,538.5,0.7071067811865476
14,2,1515,605,1519.5,605.5,4.527692569068709
14,3,630,577,630.5,577.5,0.7071067811865476
15,1,960,538,960.5,538.5,0.7071067811865476
15,2,1526,605,1531.0,607.0,5.385164807134504
15,3,630,577,630.5,577.5,0.7071067811865476
16,1,960,538,960.5,538.5,0.7071067811865476
16,2,1537,605,1543.0,609.0,7.211102550927978
16,3,630,577,630.5,577.5,0.7071067811865476
17,1,960,538,960.5,538.5,0.7071067811865476
17,2,1550,607,1555.0,610.5,6.103277807866851
17,3,630,577,631.0,578.0,1.4142135623730951
18,1,960,538,960.5,538.5,0.7071067811865476
18,2,1562,609,1567.0,613.0,6.4031242374328485
18,3,631,577,631.0,578.0,1.0
19,1,960,538,960.5,538.5,0.7071067811865476
19,2,1575,611,1571.0,614.0,5.0
19,3,631,577,632.0,578.0,1.4142135623730951
20,1,960,538,960.5,538.5,0.7071067811865476
20,2,1584,614,1576.0,615.0,8.06225774829855
20,3,631,578,633.0,578.0,2.0
